robot_pos_x,robot_pos_y,robot_pos_theta,goal_pos_x,goal_pos_y,dist_sensor_0,dist_sensor_1,dist_sensor_2,dist_sensor_3,dist_sensor_4,dist_sensor_5,dist_sensor_6,dist_sensor_7,dist_sensor_8,dist_sensor_9,dist_sensor_10,dist_sensor_11,dist_sensor_12,dist_sensor_13,dist_sensor_14,dist_sensor_15,step,command_type,trajectory_x,trajectory_y
5.680000000000016,2.517540511302467,147.0,85.0,85.0,116.2345063896903,99.142611685726,27.31929107814681,10.028138162528412,6.772623503308215,5.776731909808014,5.806894578833392,4.444761281180194,3.001822893904515,2.5604148954005876,2.573783863921784,3.054799794084858,4.622401901900048,13.814762541516355,96.42716490766954,114.44849260003271,141,RIGHT,0.5446390350150252,0.8386705679454204
5.680000000000016,2.517540511302467,143.99999999999997,85.0,85.0,120.4949465418996,100.25244245402973,36.309134298118295,10.870843258847803,7.020866112198841,5.84139830001841,5.750801914475883,4.818272587353629,3.1118512080794374,2.5890769124911452,2.548921970452256,2.9526412390033343,4.283095741996909,10.784281468345737,95.49571066432442,110.62110834463324,142,RIGHT,0.587785252292471,0.8090169943749439
5.680000000000016,2.517540511302467,140.99999999999997,85.0,85.0,125.43648725387476,101.66922513552379,54.33926628631236,11.903794864647772,7.308794334273227,5.923949824396182,5.711287027920799,5.276106656687495,3.2394693354420365,2.625666139056429,2.531407828251209,2.864692181148774,4.000411471019855,8.864100332068077,94.83954092843085,107.32608484864573,143,RIGHT,0.6293203910498352,0.7771459614569675
5.680000000000016,2.517540511302467,138.0,85.0,85.0,131.17558805051908,103.41414038093197,97.61623915184435,13.193620424909298,7.643193904164255,6.02562061364281,5.687794925268217,5.8477947025452,3.3876849101185815,2.6707295775677813,2.5209954479477674,2.7892549933559776,3.7624052574756988,7.541907668048822,94.4494396745239,104.49982027785819,144,RIGHT,0.6691306063588557,0.7431448254773909
5.680000000000016,2.517540511302467,134.99999999999997,85.0,85.0,133.38862320303028,105.51425381588551,97.48245948869753,14.8425552809957,8.032733034279222,6.147987697660826,5.680000000000026,6.147987697660824,3.560339934907656,2.7249662133539267,2.5175405113024776,2.7249662133539236,3.5603399349076534,6.57865038928749,94.32,102.09123233157854,145,RIGHT,0.7071067811865448,0.7071067811865444
5.680000000000016,2.517540511302467,131.99999999999997,85.0,85.0,126.92007905647333,108.00359941489069,97.61623915184435,17.015827694607736,8.488626803231021,6.2930341303884365,5.687794925268218,6.025620613642809,3.762405257475706,2.789254993355981,2.5209954479477674,2.6707295775677795,3.387684910118579,5.847794702545199,48.103458731430855,100.05924934485688,146,RIGHT,0.7431448254773914,0.6691306063588551
5.680000000000016,2.517540511302467,129.0,85.0,85.0,121.36716225504348,110.92462593658426,98.01942012810044,19.99891944543086,9.025609341093503,6.463233269087265,5.7112870279208,5.923949824396181,4.000411471019861,2.8646921811487775,2.53140782825121,2.625666139056427,3.2394693354420343,5.276106656687492,24.084736660253775,98.37094145018399,147,RIGHT,0.7771459614569678,0.6293203910498345
5.680000000000016,2.517540511302467,125.99999999999997,85.0,85.0,116.58593163778013,114.33012842239762,98.69759060834807,24.331174996073255,9.663393182879226,6.661661316767601,5.7508019144758835,5.84139830001841,4.283095741996917,2.9526412390033383,2.5489219704522568,2.5890769124911435,3.111851208079437,4.818272587353627,16.09325995173127,97.00012106650244,148,RIGHT,0.8090169943749442,0.5877852522924704
5.680000000000016,2.517540511302467,122.99999999999999,85.0,85.0,112.46370578028653,118.2858412152799,99.66027562258117,31.16845623080656,10.428925645851505,6.892148409331948,5.806894578833393,5.776731909808014,4.62240190190006,3.0547997940848632,2.5737838639217854,2.5604148954005868,3.001822893904514,4.4447612811801935,12.108701061496125,95.92629467131853,149,RIGHT,0.8386705679454207,0.5446390350150244
5.680000000000016,2.517540511302467,119.99999999999999,85.0,85.0,108.91135477993099,122.87395103537641,100.92126831643947,43.516170229069665,11.360000000000067,7.1594833115783345,5.8803687047293,5.729012496095294,5.035081022604949,3.173290365650068,2.6063497245688767,2.539264269133443,2.907005383792545,4.135512519907711,9.727029594384131,95.13388356191997,150,RIGHT,0.8660254037844352,0.49999999999999756
